id,title,post,points,postOwnerId,created_at
205,Fully-configurable bifurcated portal,"Resection of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach",56,100,2020-04-06T11:32:33Z
206,Multi-tiered zero tolerance project,Plain Radiography of Cervico-Cerebral Arch using Low Osmolar Contrast,34,62,2019-10-08T13:31:25Z
207,Visionary directional groupware,Fluoroscopy of Thoracic Spine,74,36,2020-02-25T09:05:43Z
208,Streamlined contextually-based circuit,"Repair Left Hand, External Approach",60,65,2020-01-06T08:10:21Z
209,Pre-emptive empowering data-warehouse,"Release Right Diaphragm, Percutaneous Endoscopic Approach",51,64,2019-10-14T19:17:44Z
210,Phased non-volatile complexity,"Revision of Nonautologous Tissue Substitute in Right Auditory Ossicle, Via Natural or Artificial Opening Endoscopic",17,94,2020-05-22T09:37:22Z
211,Face to face disintermediate alliance,"Replacement of Hepatic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach",6,46,2019-10-02T00:50:16Z
212,Advanced bandwidth-monitored benchmark,"Excision of Left External Auditory Canal, Via Natural or Artificial Opening Endoscopic",72,36,2020-01-08T00:05:42Z
213,Managed system-worthy circuit,"Resection of Right Lung, Percutaneous Endoscopic Approach",56,77,2019-11-14T01:34:49Z
214,Public-key object-oriented workforce,"Dilation of Gastric Artery, Open Approach",41,60,2020-03-10T18:54:27Z
215,Self-enabling uniform contingency,"Imaging, Central Nervous System, Computerized Tomography (CT Scan)",86,25,2020-08-22T01:22:19Z
216,Expanded 24/7 standardization,"Revision of Infusion Device in Left Temporomandibular Joint, Open Approach",3,58,2020-05-02T10:34:36Z
217,Distributed leading edge utilisation,"Replacement of Right Maxilla with Synthetic Substitute, Percutaneous Endoscopic Approach",34,13,2020-04-25T00:56:46Z
218,Phased scalable emulation,"Destruction of Cerebellum, Open Approach",35,25,2020-04-08T06:51:24Z
219,Organic encompassing parallelism,"Reattachment of Ascending Colon, Open Approach",35,98,2020-02-05T18:04:07Z
220,Ameliorated needs-based leverage,"Excision of Larynx, Open Approach",50,26,2019-10-29T05:00:06Z
221,Compatible even-keeled moratorium,"Revision of Nonautologous Tissue Substitute in Uterus and Cervix, External Approach",30,7,2019-12-12T03:16:36Z
222,Fully-configurable analyzing benchmark,"Excision of Left External Ear, Open Approach",42,54,2020-01-17T08:30:16Z
223,Monitored mission-critical contingency,"Drainage of Right Seminal Vesicle, Open Approach",52,85,2020-02-26T04:00:11Z
224,Persevering high-level groupware,"Insertion of Infusion Device into Splenic Artery, Percutaneous Endoscopic Approach",97,34,2019-12-27T17:35:10Z
225,Devolved asynchronous interface,"Excision of Left Testis, Open Approach, Diagnostic",89,82,2019-10-18T16:12:21Z
226,Diverse needs-based complexity,"Replacement of Left Ventricle with Synthetic Substitute, Open Approach",51,99,2020-09-03T21:16:30Z
227,Down-sized disintermediate portal,"Occlusion of Right Lower Lobe Bronchus with Intraluminal Device, Via Natural or Artificial Opening",43,35,2019-12-30T12:02:05Z
228,User-centric systematic archive,"Revision of Drainage Device in Peritoneum, Percutaneous Endoscopic Approach",33,67,2020-04-19T14:26:58Z
229,Horizontal holistic encoding,Therapeutic Exercise Treatment of Musculoskeletal System - Lower Back / Lower Extremity using Electrotherapeutic Equipment,35,31,2019-11-11T14:53:11Z
230,Polarised holistic website,"Resection of Greater Omentum, Percutaneous Endoscopic Approach",94,43,2020-05-18T17:09:11Z
231,Total 5th generation matrix,"Extraction of Radial Nerve, Percutaneous Endoscopic Approach",30,64,2020-03-14T00:08:11Z
232,Ameliorated intangible implementation,"Revision of Intraluminal Device in Upper Vein, Open Approach",67,14,2020-09-14T08:27:41Z
233,Team-oriented context-sensitive task-force,"Drainage of Bilateral Ureters with Drainage Device, Percutaneous Approach",47,68,2020-03-02T12:36:46Z
234,Ergonomic content-based contingency,"Fluoroscopy of Right Vertebral Artery using Other Contrast, Laser Intraoperative",25,22,2020-07-07T08:56:20Z
235,Fully-configurable fresh-thinking hub,"Revision of External Fixation Device in Right Metatarsal-Tarsal Joint, Open Approach",63,33,2020-03-22T03:18:28Z
236,Visionary contextually-based portal,"Transfer Right Upper Leg Subcutaneous Tissue and Fascia, Open Approach",72,64,2019-10-08T10:22:52Z
237,Implemented national budgetary management,"Drainage of Pelvic Cavity, Percutaneous Approach",96,27,2020-08-25T19:16:00Z
238,Profound system-worthy parallelism,"Restriction of Face Artery, Percutaneous Approach",81,75,2020-04-30T16:25:17Z
239,Multi-layered context-sensitive success,"Reposition Right Shoulder Tendon, Percutaneous Endoscopic Approach",91,52,2020-07-10T09:32:52Z
240,Robust intermediate strategy,Removal of Other Device on Neck,35,23,2019-10-26T09:55:57Z
241,Profit-focused 24 hour adapter,"Extirpation of Matter from Right Vertebral Artery, Bifurcation, Percutaneous Endoscopic Approach",32,85,2019-10-02T00:12:46Z
242,Versatile system-worthy middleware,Muscle Performance Treatment of Integumentary System - Upper Back / Upper Extremity using Prosthesis,10,14,2019-12-20T11:12:08Z
243,Enterprise-wide 5th generation algorithm,Tomographic (Tomo) Nuclear Medicine Imaging of Left Breast using Thallium 201 (Tl-201),73,50,2020-05-15T02:10:44Z
244,Cloned asymmetric process improvement,"Bypass Inferior Mesenteric Vein to Lower Vein, Open Approach",83,93,2020-08-17T20:03:18Z
245,Implemented value-added system engine,"Dilation of Left External Carotid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach",18,9,2020-06-03T09:13:39Z
246,Re-engineered multimedia core,"Introduction of Other Anti-infective into Ear, Via Natural or Artificial Opening",60,34,2020-03-18T21:38:56Z
247,Open-source directional productivity,"Irrigation of Pleural Cavity using Irrigating Substance, Percutaneous Approach, Diagnostic",25,40,2020-01-30T06:31:36Z
248,Optimized tertiary flexibility,"Fluoroscopy of Right Kidney, Ureter and Bladder",67,91,2020-05-18T21:14:21Z
249,Multi-lateral well-modulated moratorium,"Revision of Infusion Device in Left Toe Phalangeal Joint, External Approach",57,77,2020-08-26T10:44:13Z
250,Optimized maximized strategy,"Dilation of Right Ulnar Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach",43,7,2020-06-28T15:27:29Z
251,Organized analyzing algorithm,"Skin and Breast, Inspection",9,18,2019-12-01T01:04:22Z
252,Right-sized contextually-based function,"Dilation of Right Brachial Artery, Open Approach",49,62,2019-12-07T11:15:30Z
253,User-friendly bi-directional migration,Beam Radiation of Whole Body using Photons 1 - 10 MeV,77,85,2019-12-21T09:51:33Z
254,Diverse eco-centric alliance,"Drainage of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic",57,31,2019-11-24T07:08:43Z
255,Inverse full-range matrices,"Transfusion of Autologous Fresh Plasma into Peripheral Vein, Percutaneous Approach",14,72,2020-08-19T08:31:13Z
256,Advanced explicit workforce,"Excision of Right Foot Muscle, Percutaneous Approach",62,65,2020-09-14T04:56:03Z
257,Re-engineered fresh-thinking synergy,"Fluoroscopy of Left Lower Extremity Arteries using Low Osmolar Contrast, Laser Intraoperative",7,11,2020-03-15T12:48:02Z
258,Enterprise-wide exuding database,"Occlusion of Left Axillary Lymphatic with Extraluminal Device, Percutaneous Approach",76,77,2020-05-29T17:13:07Z
259,Seamless well-modulated strategy,"Occlusion of Right Kidney Pelvis with Extraluminal Device, Percutaneous Endoscopic Approach",11,1,2020-02-23T05:53:07Z
260,Re-engineered logistical support,"Bypass Descending Colon to Descending Colon, Percutaneous Endoscopic Approach",31,8,2020-05-20T21:42:27Z
261,Polarised well-modulated portal,"Dilation of Left Brachial Artery with Two Intraluminal Devices, Percutaneous Approach",82,53,2020-03-07T16:30:40Z
262,Realigned attitude-oriented matrices,"Bypass Left Common Iliac Artery to Left External Iliac Artery with Synthetic Substitute, Open Approach",90,71,2019-12-21T23:40:43Z
263,Synergistic radical capacity,"Bypass Right Subclavian Artery to Bilateral Lower Leg Artery with Nonautologous Tissue Substitute, Open Approach",44,28,2020-09-27T00:07:45Z
264,Reverse-engineered full-range secured line,Plain Radiography of Left Sternoclavicular Joint,62,42,2020-08-07T17:44:45Z
265,Synergistic user-facing secured line,"Supplement Right Thumb Phalanx with Autologous Tissue Substitute, Open Approach",23,87,2020-01-13T07:13:41Z
266,Grass-roots asynchronous groupware,"Drainage of Left Greater Saphenous Vein, Percutaneous Approach, Diagnostic",54,14,2019-11-25T22:59:19Z
267,Enterprise-wide object-oriented core,"Supplement Right Vertebral Artery with Synthetic Substitute, Percutaneous Approach",15,22,2020-04-24T12:21:42Z
268,Organized 5th generation open architecture,"Restriction of Trachea with Extraluminal Device, Percutaneous Endoscopic Approach",50,77,2019-11-24T07:02:28Z
269,Digitized needs-based budgetary management,Aural Rehabilitation Status Assessment using Assistive Listening Equipment,65,46,2020-02-16T14:35:56Z
270,Synergistic multimedia collaboration,"Removal of External Fixation Device from Left Humeral Shaft, Percutaneous Approach",78,17,2019-10-19T21:58:08Z
271,Persevering global productivity,"Drainage of Sigmoid Colon with Drainage Device, Via Natural or Artificial Opening",31,6,2020-03-31T09:13:33Z
272,Progressive radical moratorium,"Drainage of Right Diaphragm, Percutaneous Endoscopic Approach",23,69,2020-04-24T08:36:48Z
273,Focused fresh-thinking function,"Removal of Infusion Device from Left Metatarsal-Tarsal Joint, External Approach",6,94,2020-07-17T02:03:13Z
274,Profound didactic encryption,"Removal of Autologous Tissue Substitute from Left Sternoclavicular Joint, Percutaneous Approach",95,76,2020-05-18T14:50:37Z
275,Seamless dedicated solution,"Repair Right 1st Toe, External Approach",20,91,2020-05-31T02:40:30Z
276,Visionary encompassing algorithm,Removal of Other Device on Neck,24,82,2020-04-24T08:48:36Z
277,Front-line holistic open system,Beam Radiation of Lung using Electrons,74,44,2020-03-25T23:23:53Z
278,Up-sized intangible benchmark,Fluoroscopy of Sacrum and Coccyx,46,67,2019-11-14T04:18:16Z
279,Ameliorated empowering knowledge base,"Supplement Hemiazygos Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",20,3,2020-09-10T13:07:19Z
280,Reactive methodical hub,"Repair Right Thorax Tendon, Open Approach",49,50,2020-01-03T21:24:54Z
281,Intuitive motivating superstructure,"Repair Cardiovascular System in Products of Conception with Other Device, Percutaneous Approach",5,27,2020-03-28T07:59:15Z
282,De-engineered fault-tolerant orchestration,"Dilation of Left Common Carotid Artery, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach",51,53,2019-10-19T10:17:25Z
283,Universal discrete Graphical User Interface,"Reposition Products of Conception, Ectopic, Via Natural or Artificial Opening",1,100,2019-12-24T15:26:50Z
284,Optional heuristic adapter,"Monitoring of Right Knee Joint using Intraoperative Knee Replacement Sensor, Open Approach, New Technology Group 1",98,68,2020-07-14T09:57:13Z
285,Public-key upward-trending help-desk,"Release Accessory Pancreatic Duct, Percutaneous Approach",45,25,2019-11-30T19:00:14Z
286,Virtual radical service-desk,Tomographic (Tomo) Nuclear Medicine Imaging of Chest and Neck using Iodine 131 (I-131),30,94,2020-02-08T11:42:12Z
287,Quality-focused client-server challenge,"Removal of Infusion Device from Left Wrist Joint, Percutaneous Endoscopic Approach",47,34,2019-10-05T07:21:05Z
288,Right-sized incremental projection,"Removal of Infusion Device from Upper Artery, Open Approach",18,56,2020-02-18T09:13:19Z
289,Enhanced methodical toolset,"Drainage of Right Lower Extremity Bursa and Ligament, Percutaneous Approach",15,9,2020-03-22T10:48:11Z
290,User-friendly object-oriented solution,"Drainage of Left Palatine Bone with Drainage Device, Percutaneous Approach",22,84,2019-11-02T21:23:45Z
291,Vision-oriented intermediate collaboration,"Fusion of 2 or more Lumbar Vertebral Joints with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Open Approach",74,32,2019-12-09T03:43:18Z
292,Multi-lateral bottom-line encryption,"Peripheral Nervous System, Excision",18,25,2019-10-12T00:47:01Z
293,Realigned disintermediate process improvement,"Upper Arteries, Bypass",6,35,2020-04-01T21:55:16Z
294,Multi-channelled full-range core,"Release Right Acetabulum, Percutaneous Endoscopic Approach",18,28,2020-02-25T12:39:52Z
295,Visionary 3rd generation synergy,"Excision of Right Superior Parathyroid Gland, Percutaneous Approach, Diagnostic",82,2,2020-09-24T10:13:00Z
296,Decentralized demand-driven workforce,"Bypass Abdominal Aorta to Mesenteric Artery with Autologous Venous Tissue, Open Approach",72,72,2020-09-10T04:16:54Z
297,Robust dedicated matrices,"Restriction of Upper Esophagus with Intraluminal Device, Open Approach",49,79,2020-06-17T10:02:12Z
298,Secured asynchronous workforce,"Supplement Inferior Mesenteric Artery with Synthetic Substitute, Percutaneous Approach",57,9,2020-08-17T08:45:28Z
299,Devolved fresh-thinking frame,"Extirpation of Matter from Right Humeral Shaft, Open Approach",23,20,2019-10-11T02:49:44Z
300,Open-source real-time implementation,"Restriction of Left External Carotid Artery, Open Approach",84,48,2020-06-13T17:34:36Z
301,Re-contextualized secondary productivity,Fluoroscopy of Left Foot/Toe Joint using High Osmolar Contrast,20,100,2020-06-29T08:32:02Z
302,Innovative foreground matrices,"Bypass Upper Esophagus to Cutaneous with Synthetic Substitute, Via Natural or Artificial Opening Endoscopic",3,59,2020-03-14T10:01:19Z
303,Secured 24/7 array,"Revision of Autologous Tissue Substitute in Left Metacarpocarpal Joint, External Approach",50,75,2019-11-12T11:37:11Z
304,Down-sized encompassing solution,"Fluoroscopy of Intracranial Arteries using Other Contrast, Laser Intraoperative",58,23,2020-06-17T01:09:37Z
305,Multi-tiered value-added firmware,"Revision of Internal Fixation Device in Left Toe Phalangeal Joint, Percutaneous Approach",3,40,2020-03-06T09:13:07Z
306,Vision-oriented bifurcated complexity,"Fusion of Right Toe Phalangeal Joint with Internal Fixation Device, Open Approach",60,18,2019-10-19T13:04:12Z
307,Versatile leading edge orchestration,"Extirpation of Matter from Right Palatine Bone, Open Approach",87,15,2020-09-03T20:02:34Z
308,Managed well-modulated knowledge user,"Reposition Left Shoulder Muscle, Percutaneous Endoscopic Approach",49,67,2019-11-21T08:43:34Z
309,Versatile even-keeled architecture,"Repair Left Vocal Cord, Percutaneous Approach",51,35,2020-05-22T13:56:22Z
310,Cross-platform zero tolerance attitude,Beam Radiation of Colon using Neutron Capture,34,53,2019-11-30T14:56:05Z
311,Expanded system-worthy throughput,"Reposition Left Zygomatic Bone with Internal Fixation Device, Percutaneous Approach",5,51,2019-12-25T21:19:49Z
312,Cross-platform optimizing project,"Dilation of Esophageal Vein, Percutaneous Endoscopic Approach",54,44,2020-06-07T05:30:45Z
313,Devolved real-time data-warehouse,"Supplement Left Epididymis with Nonautologous Tissue Substitute, Open Approach",64,34,2019-11-27T08:24:34Z
314,Right-sized mobile success,"Reposition Left Temporal Bone, Open Approach",56,88,2020-05-15T14:40:31Z
315,Multi-channelled object-oriented frame,"Division of Right Temporal Bone, Percutaneous Endoscopic Approach",69,100,2020-02-06T05:32:55Z
316,Decentralized global archive,"Removal of Autologous Tissue Substitute from Omentum, Percutaneous Approach",90,40,2020-01-24T03:23:47Z
317,Integrated dedicated task-force,"Dilation of Tricuspid Valve, Open Approach",22,73,2019-10-13T14:22:12Z
318,Open-source stable concept,"Replacement of Left Scapula with Synthetic Substitute, Percutaneous Approach",95,10,2020-02-04T14:18:36Z
319,Right-sized bi-directional initiative,"Bypass Right Femoral Artery to Popliteal Artery with Autologous Arterial Tissue, Open Approach",1,15,2020-02-13T08:28:52Z
320,Centralized web-enabled archive,"Bypass Right Vas Deferens to Right Epididymis with Synthetic Substitute, Open Approach",39,26,2019-11-23T01:38:00Z
321,Automated local productivity,Muscle Performance Assessment of Neurological System - Upper Back / Upper Extremity using Other Equipment,67,100,2020-09-18T01:00:19Z
322,User-centric systemic synergy,"Revision of Extraluminal Device in Right Eye, Percutaneous Approach",91,43,2020-03-08T11:47:48Z
323,Multi-layered 3rd generation paradigm,Computerized Tomography (CT Scan) of Right Ankle using High Osmolar Contrast,29,61,2019-11-05T13:40:28Z
324,Public-key mission-critical leverage,"Revision of Extraluminal Device in Left Eye, Via Natural or Artificial Opening",67,4,2020-09-03T10:56:44Z
325,Fully-configurable regional infrastructure,"Inspection of Left Sacroiliac Joint, Percutaneous Endoscopic Approach",96,86,2020-03-27T20:54:03Z
326,Quality-focused fresh-thinking strategy,Plain Radiography of Left Pulmonary Vein using Low Osmolar Contrast,91,90,2019-11-19T12:09:03Z
327,Synchronised tangible functionalities,Muscle Performance Assessment of Musculoskeletal System - Head and Neck using Other Equipment,39,8,2020-08-26T18:18:58Z
328,Multi-tiered explicit hardware,"Removal of Autologous Tissue Substitute from Right Upper Femur, Open Approach",58,15,2020-06-05T05:02:15Z
329,Enterprise-wide hybrid superstructure,"Drainage of Left Diaphragm with Drainage Device, Open Approach",12,83,2019-12-17T18:00:10Z
330,Extended asymmetric forecast,"Removal of Radioactive Element from Left Lung, Open Approach",52,77,2019-10-07T23:59:24Z
331,Open-source solution-oriented paradigm,Plain Radiography of Bilateral Renal Arteries using Other Contrast,50,69,2020-08-03T23:28:34Z
332,Front-line background process improvement,"Extirpation of Matter from Urethra, Open Approach",73,87,2020-03-05T07:49:32Z
333,Networked holistic focus group,"Extirpation of Matter from Right Thorax Muscle, Percutaneous Endoscopic Approach",28,68,2020-08-20T02:58:03Z
334,Horizontal leading edge moderator,"Replacement of Left Axillary Vein with Synthetic Substitute, Open Approach",25,57,2019-11-21T06:42:06Z
335,Total stable ability,"Extirpation of Matter from Pericardium, Percutaneous Endoscopic Approach",69,69,2020-06-05T12:44:09Z
336,Secured logistical leverage,"Fluoroscopy of Kidneys, Ureters and Bladder using Low Osmolar Contrast",26,3,2020-04-10T10:13:02Z
337,Pre-emptive bifurcated frame,"Inspection of Right Buttock, Open Approach",16,79,2020-02-01T12:34:15Z
338,Self-enabling executive firmware,"Revision of Internal Fixation Device in Right Shoulder Joint, Percutaneous Approach",22,76,2020-06-03T23:54:59Z
339,Advanced radical encoding,"Reattachment of Left 5th Toe, Open Approach",7,95,2019-11-18T10:45:52Z
340,User-friendly neutral process improvement,"Replacement of Left Maxilla with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",77,10,2020-03-20T06:51:52Z
341,Multi-lateral 4th generation toolset,"Bypass Right Kidney Pelvis to Cutaneous, Percutaneous Endoscopic Approach",13,77,2020-02-08T15:57:35Z
342,Organic 24 hour open architecture,"Excision of Thoracolumbar Vertebral Joint, Percutaneous Approach, Diagnostic",71,19,2020-04-28T00:01:58Z
343,Reduced full-range circuit,"Removal of Autologous Tissue Substitute from Coccygeal Joint, Percutaneous Endoscopic Approach",25,25,2020-04-27T23:32:47Z
344,Virtual intermediate application,"Occlusion of Right Large Intestine, Via Natural or Artificial Opening",64,91,2020-05-25T23:36:57Z
345,Automated optimizing framework,"Transfusion of Autologous Fresh Plasma into Central Artery, Percutaneous Approach",49,30,2020-09-12T21:13:30Z
346,Automated eco-centric success,"Supplement Left Testis with Autologous Tissue Substitute, Open Approach",81,16,2020-08-14T07:55:42Z
347,Customizable solution-oriented strategy,"Bypass Stomach to Transverse Colon, Percutaneous Endoscopic Approach",62,50,2020-02-11T17:34:02Z
348,Function-based full-range service-desk,"Dilation of Right Internal Iliac Artery with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach",62,27,2019-11-01T07:52:01Z
349,Reverse-engineered exuding solution,"Destruction of Left Parietal Bone, Open Approach",72,73,2019-11-07T08:46:36Z
350,Function-based secondary protocol,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach",50,57,2019-10-23T16:16:43Z
351,Inverse 6th generation process improvement,"Bypass Left External Iliac Artery to Right External Iliac Artery, Percutaneous Endoscopic Approach",61,99,2020-07-18T00:42:27Z
352,Upgradable non-volatile contingency,"Dilation of Right External Carotid Artery, Bifurcation, with Four or More Intraluminal Devices, Open Approach",26,51,2020-08-27T19:04:20Z
353,Networked dedicated project,"Replacement of Right Lower Arm Subcutaneous Tissue and Fascia with Nonautologous Tissue Substitute, Percutaneous Approach",92,68,2020-05-01T09:55:45Z
354,Distributed multimedia functionalities,"Introduction of Oxazolidinones into Biliary and Pancreatic Tract, Via Natural or Artificial Opening Endoscopic",77,78,2020-08-18T03:29:21Z
355,Multi-lateral stable circuit,"Removal of Internal Fixation Device from Sacrococcygeal Joint, Percutaneous Approach",72,40,2020-04-21T02:29:09Z
356,Up-sized contextually-based info-mediaries,"Repair Bilateral Testes, Open Approach",68,36,2020-01-16T04:36:52Z
357,Cross-platform incremental support,"Supplement Right Middle Lobe Bronchus with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach",54,12,2020-09-26T05:55:42Z
358,Devolved discrete throughput,"Dilation of Left Common Iliac Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",29,31,2020-07-06T04:11:55Z
359,Balanced methodical matrices,"Removal of Infusion Device from Retroperitoneum, Open Approach",63,87,2020-09-28T05:56:09Z
360,Organic next generation standardization,"Insertion of Intraluminal Device into Anus, Via Natural or Artificial Opening Endoscopic",21,37,2020-06-02T11:17:26Z
361,Fundamental reciprocal service-desk,"Reposition Upper Tooth, Multiple, External Approach",17,86,2020-04-08T10:06:57Z
362,Universal directional benchmark,"Occlusion of Left Atrial Appendage, Percutaneous Approach",89,17,2019-10-09T04:27:12Z
363,Ameliorated secondary moratorium,"Beam Radiation of Inguinal Lymphatics using Heavy Particles (Protons,Ions)",33,30,2020-08-18T10:25:25Z
364,Front-line homogeneous projection,"Excision of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach",33,63,2020-02-15T05:09:02Z
365,Right-sized fault-tolerant adapter,"Fusion of Thoracolumbar Vertebral Joint with Interbody Fusion Device, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach",88,96,2020-02-06T06:37:19Z
366,Versatile contextually-based website,"Bypass Middle Esophagus to Duodenum with Nonautologous Tissue Substitute, Open Approach",42,90,2020-09-16T01:01:28Z
367,Triple-buffered coherent policy,"Extraction of Peroneal Nerve, Percutaneous Approach",64,34,2020-06-13T08:15:18Z
368,Customizable web-enabled hardware,"Destruction of Inferior Mesenteric Artery, Open Approach",82,62,2020-07-21T06:00:26Z
369,Implemented local challenge,"Occlusion of Right External Carotid Artery with Bioactive Intraluminal Device, Open Approach",21,27,2020-05-11T23:49:49Z
370,Configurable background projection,"Insertion of External Fixation Device into Left Fibula, Percutaneous Endoscopic Approach",99,32,2020-06-15T15:29:59Z
371,Implemented foreground access,"Repair Left Sublingual Gland, Percutaneous Approach",9,88,2019-11-29T03:15:38Z
372,Devolved radical array,"Insertion of Infusion Device into Right Cephalic Vein, Percutaneous Endoscopic Approach",74,55,2019-12-28T19:16:15Z
373,Horizontal high-level focus group,"Heart and Great Vessels, Creation",16,94,2020-06-26T07:40:06Z
374,Enterprise-wide explicit flexibility,"Repair Left Upper Arm Subcutaneous Tissue and Fascia, Open Approach",11,39,2020-05-30T11:47:51Z
375,Re-contextualized neutral strategy,"Revision of Infusion Device in Penis, Via Natural or Artificial Opening",100,28,2020-08-08T05:06:39Z
376,Implemented disintermediate process improvement,"Removal of Autologous Tissue Substitute from Left Metatarsal, Open Approach",60,8,2020-01-20T23:27:23Z
377,Front-line uniform forecast,"Supplement Right Inguinal Region with Synthetic Substitute, Percutaneous Endoscopic Approach",1,31,2020-01-03T20:18:06Z
378,Organic transitional moderator,"Introduction of Oxazolidinones into Genitourinary Tract, Percutaneous Approach",12,14,2020-09-16T02:01:35Z
379,Progressive asynchronous Graphic Interface,"Destruction of Right Metatarsal, Percutaneous Approach",29,63,2020-03-22T02:07:59Z
380,Robust dedicated installation,"Drainage of Left Lower Arm Subcutaneous Tissue and Fascia, Percutaneous Approach, Diagnostic",12,44,2020-06-25T05:46:50Z
381,Triple-buffered bi-directional open system,"Removal of Monitoring Device from Lower Artery, Open Approach",17,54,2020-04-11T03:29:45Z
382,Polarised explicit interface,"Bypass Left Common Iliac Artery to Right Femoral Artery with Autologous Venous Tissue, Open Approach",38,38,2020-01-29T22:26:23Z
383,Configurable fault-tolerant groupware,"Drainage of Left Hip Bursa and Ligament with Drainage Device, Percutaneous Endoscopic Approach",5,82,2020-09-29T14:03:23Z
384,Extended logistical forecast,"Detachment at Left Foot, Complete, Open Approach",100,33,2020-02-25T07:00:17Z
385,Decentralized bandwidth-monitored strategy,"Drainage of Large Intestine with Drainage Device, Percutaneous Approach",19,84,2020-04-15T16:36:01Z
386,De-engineered regional solution,"Repair Ventricular Septum, Percutaneous Endoscopic Approach",16,25,2020-03-20T14:54:21Z
387,Operative interactive hierarchy,"Destruction of Middle Colic Artery, Percutaneous Endoscopic Approach",100,9,2020-06-28T23:26:17Z
388,Re-contextualized leading edge Graphical User Interface,"Control Bleeding in Left Axilla, Percutaneous Endoscopic Approach",29,74,2020-05-07T04:17:14Z
389,Open-architected multimedia infrastructure,Low Dose Rate (LDR) Brachytherapy of Cervix using Other Isotope,71,61,2020-02-26T17:46:24Z
390,Persevering system-worthy attitude,"Supplement Left Breast with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",47,92,2020-05-29T04:01:03Z
391,Vision-oriented asymmetric moratorium,"Occlusion of Left Hepatic Duct with Extraluminal Device, Percutaneous Endoscopic Approach",58,29,2020-06-18T22:14:29Z
392,Switchable zero tolerance software,"Replacement of Right Shoulder Joint with Reverse Ball and Socket Synthetic Substitute, Open Approach",36,65,2020-05-13T13:17:51Z
393,Diverse context-sensitive knowledge user,"Bypass Right Subclavian Artery to Right Pulmonary Artery, Open Approach",54,74,2020-07-10T12:39:44Z
394,Decentralized system-worthy workforce,"Repair Right Subclavian Artery, Percutaneous Endoscopic Approach",58,22,2020-04-22T09:16:52Z
395,Implemented full-range migration,"Release Left Lower Eyelid, Percutaneous Approach",67,58,2020-05-29T10:59:13Z
396,Optional coherent extranet,"Dilation of Left Peroneal Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach",32,85,2020-03-01T13:35:10Z
397,Ergonomic secondary function,"Supplement Left Temporomandibular Joint with Autologous Tissue Substitute, Percutaneous Approach",61,36,2020-05-08T10:41:46Z
398,Decentralized tangible pricing structure,"Drainage of Left Shoulder Bursa and Ligament, Percutaneous Approach",15,23,2020-02-12T03:48:10Z
399,Cloned multi-tasking contingency,"Insertion of Intraluminal Device into Tracheobronchial Tree, Open Approach",4,85,2019-10-22T04:30:32Z
400,Down-sized discrete secured line,"Introduction of Liquid Brachytherapy Radioisotope into Genitourinary Tract, Via Natural or Artificial Opening",24,100,2019-10-25T15:28:42Z
401,Reactive high-level architecture,"Excision of Chordae Tendineae, Open Approach, Diagnostic",26,65,2020-04-09T02:01:33Z
402,Customizable well-modulated encoding,Computerized Tomography (CT Scan) of Bilateral Kidneys using Low Osmolar Contrast,50,65,2020-01-01T10:59:06Z
403,Multi-tiered coherent local area network,Low Dose Rate (LDR) Brachytherapy of Parathyroid Glands using Iridium 192 (Ir-192),68,50,2020-06-05T07:13:29Z
404,Grass-roots optimal approach,Removal of Intermittent Pressure Device on Left Upper Leg,84,65,2019-10-31T07:43:59Z
405,Automated tertiary focus group,"Supplement Left Kidney Pelvis with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",87,21,2020-09-14T00:54:56Z
406,Monitored national website,"Bypass Right External Iliac Vein to Lower Vein with Nonautologous Tissue Substitute, Open Approach",11,10,2020-05-13T20:28:58Z
407,Customer-focused national intranet,Systemic Nuclear Medicine Therapy of Thyroid using Iodine 131 (I-131),29,77,2020-08-23T07:55:23Z
408,Organic zero administration access,"Repair Occipital-cervical Joint, External Approach",9,2,2020-05-19T15:11:37Z
409,Synchronised stable analyzer,"Introduction of Nutritional Substance into Male Reproductive, Via Natural or Artificial Opening Endoscopic",76,95,2019-10-18T16:13:00Z
410,Innovative 5th generation migration,"Release Face Subcutaneous Tissue and Fascia, Open Approach",58,17,2019-11-11T12:57:23Z
